X,Y,timeperiod,timeperi_1,n
41.4115,34.4743,R,roman,Ertaje/(Belesi) Biblada?
-3.5641,56.01,R,roman,Velunia(te)
-3.1432,56.6253,R,roman,Tameia?
-3.7827,56.3411,R,roman,Strageath
-2.6556,56.8097,R,roman,Stracathro
-0.4908,54.4034,L,late-antique,Ravenscar
-4.4567,55.924,R,roman,Old Kilpatrick
-1.2904,53.8984,L,late-antique,Newton Kyme
-3.7363,55.9964,R,roman,Mumrills
-4.3243,56.1775,R,roman,Malling
-2.9418,54.897,RL,"roman,late-antique",Luguvalium
-4.4536,56.0634,R,roman,Lindon?
-2.017,54.5123,RL,"roman,late-antique",Lavatris
-4.1546,55.9399,R,roman,Kirkintilloch
-2.5903,54.1717,R,roman,Kalagon/Galacum
-3.424,56.541,R,roman,Victoria?
-0.9328,54.5718,L,late-antique,Huntcliff
-0.711,54.5207,L,late-antique,Goldsborough
-0.2919,54.2102,L,late-antique,Filey
-3.7009,56.4355,R,roman,Fendoch
-3.2857,55.6437,R,roman,Karbantorigon?
-0.7894,54.1342,RL,"roman,late-antique",Derventio
-3.6703,55.1516,R,roman,Dalswinton
-4.042,55.959,R,roman,Croy Hill
-3.6541,55.4702,R,roman,Crawford
-2.0293,54.9782,RLM,"roman,late-antique,modern",*Coriosopitum/Coria
-2.9459,55.0366,RLM,"roman,late-antique,modern",Castra Exploratorum
-3.2868,56.343,R,roman,Carpow
-3.3819,56.5158,R,roman,Cargill
-4.2135,55.9214,R,roman,Cadder
-4.2162,56.2441,R,roman,Bochastle
-3.4644,56.4234,R,roman,Bertha
-4.3338,55.9194,R,roman,Bearsden
-4.537,55.8849,R,roman,Barochan
-4.0837,55.9565,R,roman,Bar Hill
-4.2523,55.9194,R,roman,Balmuildy
-4.1245,55.9479,R,roman,Auchendavy
-2.7469,54.3082,R,roman,Alone?/Alauna?
-1.8204,55.3965,R,roman,Alauna
45.7282,39.1699,L,late-antique,Parakan
46.4189,39.2022,L,late-antique,Kapan
46.2416,39.2689,L,late-antique,Balaberd
44.2465,39.9775,L,late-antique,*Zolocerta/‘Coloceia’
40.1762,38.2523,L,late-antique,Ziata/*Inzieta?
41.0704,36.6688,NCU43EO2LANRL,"neolithic-middle-east,chalcolithic-mesopotamia,ubaid-early-dynastic-ii-mesopotamia,4th-millenium-bce,3rd-millennium-bc,early-dynastic-mesopotamia,old-babylonian-assyrian-mesopotamia,2nd-millenium-bce,later-2nd-millennium-bc-mesopotamia,archaic,neo-assyri",Tell Brak
0.8422,41.7829,H,hellenistic-republican,La Ràpita
3.1969,42.2482,L,late-antique,Puig Rom
-2.5335,41.4859,H,hellenistic-republican,El Guijar
-0.2222,41.9402,H,hellenistic-republican,Gabarda
2.8423,42.4827,RLM,"roman,late-antique,modern",L’Ecluse
-1.1752,41.7197,H,hellenistic-republican,Castra Aelia
1.1441,41.7675,L,late-antique,Castellnou de Sió
-1.1638,41.7957,R,roman,Cabañas de Ebro
-2.3835,41.82,H,hellenistic-republican,El Atalayón
-5.9834,42.09,RL,"roman,late-antique",Petavonium
-5.5667,42.5995,RLM,"roman,late-antique,modern",Legio VII Gemina
-5.979,42.1961,R,roman,Cohors IV Gallorum
12.5716,41.7778,ACH,"archaic,classical,hellenistic-republican",La Giostra
12.6653,41.7326,RRL,"roman,roman-early-empire-late-antique,late-antique",Castra Albana
11.7968,42.0912,RLM,"roman,late-antique,modern",Centum Cellae
1.0698,47.7807,RL,"roman,late-antique",Vindocinum
28.1395,44.8955,RL,"roman,late-antique",Beroe
24.9513,43.94,R,roman,Băneasa
28.0218,44.3319,RL,"roman,late-antique",Axiopolis
24.8522,43.633,RL,"roman,late-antique",Asamus
24.3123,45.2769,R,roman,Arutela
28.94,44.7581,RL,"roman,late-antique",Argamum
26.2456,43.9877,RL,"roman,late-antique",Appiaria
26.3038,46.0417,R,roman,Angustia?
27.6994,44.1886,RL,"roman,late-antique",Altinum
23.8134,43.528,RL,"roman,late-antique",Altimir
28.5056,45.3266,R,roman,Aliobrix
24.8481,44.7815,R,roman,Albota
28.8064,45.1798,RL,"roman,late-antique",Aegyssus
24.2646,44.3781,R,roman,Acidava
21.2251,44.3672,RL,"roman,late-antique",Žabari
21.6445,43.0628,L,late-antique,Zlata
23.7901,43.809,R,roman,Zăvalu
21.3002,45.1227,R,roman,Vršac
22.2702,43.6895,RL,"roman,late-antique",Vrbica
22.7056,43.8526,RL,"roman,late-antique",Vodna
23.1359,44.9151,R,roman,Vîrţu
23.4144,45.1694,R,roman,Vîrtop
23.4521,45.5957,R,roman,Vîrful lui Pătru
22.0165,44.5326,L,late-antique,Velika Livadica
22.6198,44.5434,RL,"roman,late-antique",Vajuga
19.9946,44.6289,L,late-antique,Ušće
22.35,44.4833,RL,"roman,late-antique",*Una
22.6358,43.9589,RL,"roman,late-antique",Tsar Petrovo
21.7947,44.633,L,late-antique,Trpičevski potok
20.65,44.7332,RL,"roman,late-antique",Tricornium
22.4045,44.6628,RL,"roman,late-antique",Transdierna
23.3277,47.2277,R,roman,Tihău
22.1865,45.4591,R,roman,Tibiscum
20.4115,44.836,RL,"roman,late-antique",Taurunum
22.7034,43.5324,RL,"roman,late-antique",Târgovishte
22.1443,44.4436,RL,"roman,late-antique",Taliata
22.2601,42.978,RL,"roman,late-antique",Svodje
21.2,44.2166,RL,"roman,late-antique",Svilajnac
20.6666,44.1499,L,late-antique,Stragari
21.4252,43.6778,L,late-antique,Stalać
20.5973,44.5088,RL,"roman,late-antique",Sopot
20.0851,44.3463,L,late-antique,Slovac
19.9285,44.405,L,late-antique,Slatina
20.6283,46.0775,R,roman,Sînnicolaul Mare
21.6083,44.5268,RL,"roman,late-antique",Sena
22.6134,44.608,R,roman,Schela Cladovei
22.0319,43.8906,RL,"roman,late-antique",Savinac
22.3303,44.2437,RL,"roman,late-antique",Šarkamen
21.96,44.5927,L,late-antique,Saldum
19.5857,44.9469,RL,"roman,late-antique",Salaš Noćajski
22.5277,43.6135,RL,"roman,late-antique",Salash
23.5451,45.1107,R,roman,Săcelu
19.6998,44.7542,L,late-antique,Šabac
20.4955,44.1161,RL,"roman,late-antique",Rudnik
20.3216,45.0664,RL,"roman,late-antique",Rittium
21.2837,44.0066,RL,"roman,late-antique",Ribare
22.2925,43.9904,RL,"roman,late-antique",Rgotina
23.8706,46.4127,R,roman,Războieni
22.0548,44.4903,L,late-antique,Ravna
22.9049,43.8174,R,roman,Ratiaria
21.0554,44.2538,L,late-antique,Rakinac
23.5718,44.514,R,roman,Răcari
22.702,44.6807,R,roman,Puţinei
22.6058,44.2873,RL,"roman,late-antique",Prahovo
22.6538,44.5896,RL,"roman,late-antique",Pontes
23.4462,43.8239,RL,"roman,late-antique",Pomodiana/Cumodina
21.5805,44.7602,R,roman,Pojejena de Sus
21.5109,44.7606,RL,"roman,late-antique",Pincus
22.85,44.135,L,late-antique,Phlorentiana
22.741,43.2066,RL,"roman,late-antique",Pakleštica
22.1374,43.1374,RL,"roman,late-antique",Ovsinjac
21.8197,43.1947,L,late-antique,Orljane
23.1707,45.7303,R,roman,Orăştiora de Sus
23.2517,46.9861,R,roman,Optatiana
23.4451,43.1003,RL,"roman,late-antique",Opletnja
19.6244,45.2362,RL,"roman,late-antique",Onagrinum
20.5585,44.8143,RL,"roman,late-antique",Oktabon
21.8885,44.6204,RL,"roman,late-antique",Novae
21.7165,44.4434,RL,"roman,late-antique",Neresnica
22.1416,44.287,RL,"roman,late-antique",Miloševa kula
19.3313,44.1853,RL,"roman,late-antique",Mihaljevći
22.8149,45.9146,R,roman,Micia
