X,Y,label,Type of Ar,centuries,deities
22.974702,38.493319,Orchomenus - 105/0701,Inscription,"(2:3 BCE,2 BCE)","(2:Isis,Sarapis)"
25.19,37.05,Paros - 202/1001,Decree,(1:2 BCE),(1:Sarapis)
22.548344,38.043207,Pellene - 102/1101,Statue,(1:3 BCE),(1:Isis)
27.1839985,39.1317455,Pergamum - 301/1201,Inscription,"(2:3 BCE,2 BCE)",(1:Sarapis)
27.952973,40.971013,Perinthus/Heraclea - 114/0601,Inscription,(1:3 BCE),(1:Isis)
28.11667,36.63333,Phoenix - 204/0701,Inscription,(1:3 BCE),(1:Sarapis)
23.644609,37.937222,Piraeus - Statue,Statue,"(2:3 BCE,2 BCE)",(1:Isis)
27.2980995,37.6599361,Priene - 304/0801,Inscription,(1:3 BCE),"(3:Isis,Sarapis,Anubis)"
27.2980995,37.6599361,Priene - 304/0802,Inscription,(1:3 BCE),"(3:Sarapis,Isis,Apis)"
24.028009,38.222727,Rhamnous - 101/0501,Dedication,(1:3 BCE),"(2:Sarapis,Isis)"
24.028009,38.222727,Rhamnous - 101/0502,Decree,"(2:3 BCE,3 BCE)","(2:Sarapis,Sarapis)"
27.964125,36.195597,Rhodos - 204/0401,Dedication,(1:2 BCE),"(2:Sarapis,Isis)"
28.2167227,36.440683,Rhodos urbs - 204/0111,Inscription,"(3:3 BCE,2 BCE,1 BCE)","(2:Osiris,Isis)"
33.902516,35.1848,Salamis - 401/0101,Inscription,(1:3 BCE),"(2:Sarapis,Isis)"
35.190436,32.276529,Samaria/Sebaste - 403/0501,Inscription,(1:3 BCE),"(2:Sarapis,Isis)"
26.944483,37.68825,Samos - 204/1201,Decree,(1:2 BCE),(1:Isis)
26.944483,37.68825,Samos - 204/1202,Dedication,(1:2 BCE),"(2:Sarapis,Isis)"
26.944483,37.68825,Samos - LIMC Isis 195,Relief,"(2:2 BCE,1 BCE)","(4:Anubis,Apis,Sarapis,Isis)"
22.711059,37.984123,Sicyon - 102/1001,Inscription,"(2:3 BCE,2 BCE)","(2:Sarapis,Isis)"
27.14781,38.440912,Smyrna - 304/0201,Inscription,(1:3 BCE),(1:Anubis)
27.14781,38.440912,Smyrna - 304/0203,Funerary stele,(1:2 BCE),(1:Isis)
27.14781,38.440912,Smyrna - 304/0204,Funerary stele,(1:2 BCE),(1:Isis)
27.14781,38.440912,Smyrna - Siebert Ktema 5 1980,Medaillon,"(3:3 BCE,2 BCE,1 BCE)",(1:Isis)
32.811959,35.139761,Soli/Soloi/Solous - 401/0601,Inscription,(1:3 BCE),(1:Sarapis)
32.811959,35.139761,Soli/Soloi/Solous - 401/0604,Inscription,(1:3 BCE),(1:Sarapis)
27.813674,36.566308,Syme - 204/0601,Inscription,(1:2 BCE),(1:Sarapis)
27.813674,36.566308,Syme - 204/0602,Dedication,(1:2 BCE),"(2:Sarapis,Isis)"
15.2823273,37.0712887,Syracusae,Head,"(2:3 BCE,2 BCE)",(0:)
15.292111,37.852313,Tauromenium - 518/0301,Inscription,"(2:3 BCE,2 BCE)",(1:Sarapis)
26.05,39.81667,Tenedos/Bozcaada - 301/1100,Coin,"(2:2 BCE,1 BCE)",(1:Isis)
25.114,37.607,Tenos - 202/0601,Dedication,(1:2 BCE),"(2:Sarapis,Isis)"
25.114,37.607,Tenos - 202/0602,Dedication,(1:2 BCE),"(3:Sarapis,Isis,Anubis)"
25.433333,36.416667,Thera - 202/1201,Inscription,(1:3 BCE),(1:Arsinoe II)
25.433333,36.416667,Thera - 202/1202,Inscription,(1:3 BCE),"(3:Sarapis,Isis,Anubis)"
25.433333,36.416667,Thera - 202/1203,Inscription,(1:3 BCE),"(2:Sarapis,Isis)"
25.433333,36.416667,Thera - 202/1205,Inscription,(1:3 BCE),"(3:Sarapis,Isis,Anubis)"
25.433333,36.416667,Thera - 202/1206,Inscription,"(2:3 BCE,2 BCE)",(1:Isis)
25.433333,36.416667,Thera - 202/1207,Inscription,(1:2 BCE),(1:Isis)
22.949569,40.630282,Thessalonica - 113/0501,Inscription,(1:3 BCE),"(2:Sarapis,Isis)"
22.949569,40.630282,Thessalonica - 113/0502,Inscription,(1:3 BCE),(1:Isis)
27.833862,37.859752,Tralles - 303/1301,Coin,(1:2 BCE),(1:Isis)
35.209358,33.268071,Tyrus - 402/0801,Inscription,(1:3 BCE),(1:Sarapis)
29.31836,36.355934,Xanthos,Relief,"(3:3 BCE,2 BCE,1 BCE)","(2:Sarapis,Isis)"
