Details,subtype,ancient-find-spot,modern-find-sport,province-or-italic-region,modern-country,DARE-no.,GPSX,GPSY,relevance
Ach-Place-001 Andros,town,Andros,"Palaiopolis, Andros",Achaia,Greece,39550,24.82693,37.81579,4
Ach-Place-002 Athenai,city,"Athenae, Athenai","AthĂ­na, Athens",Achaia,Greece,10975,23.72646,37.97169,2
Ach-Place-003 Eleusis,city,Eleusis,Elefsina,Achaia,Greece,21987,23.53772,38.04098,0
Ach-Place-004 Patrae,city,"Patrae, Patra",Patras,Achaia,Greece,21942,21.73852,38.24327,2
Aeg-Place-001 Alexandria,city,Alexandria,Alexandria,Aegyptus,Egypt,15898,29.90413,31.19537,4
Aeg-Place-002 Memphis,city,Memphis,Mit Rahina,Aegyptus,Egypt,21137,31.25428,29.84967,4
Aeg-Place-003 Oxyrhynchus,city,"Oxyrhynchus, Oxyrynchopolis, Iustinopolis, Nea Ioustinou Polis, Pemje",El Bahnasa,Aegyptus,Egypt,22142,30.65172,28.54257,1
AfrPro-Place-001 Carthago,city,Carthago,Carthago,Africa Proconsularis,Tunisia,15897,10.32306,36.85306,1
AfrPro-Place-002 Leptis Magna,city,"Lepcis Magna, Neapolis","Leptis Magna, Khoms",Africa Proconsularis,Libya,21127,14.29056,32.63917,2
AfrPro-Place-003 Sabratha,city,"Sabratha, Abrotonum",Sabratha,Africa Proconsularis,Lybia,21128,12.48364,32.80471,1
AfrPro-Place-004 Tiddis,town,"Tiddis, Castellum Tidditanorum",Tiddis,Africa Proconsularis,Algeria,22630,6.48321,36.46273,2
AfrPro-Place-005 Cirta,city,"Cirta, Constantina",Constantine,Africa Proconsularis,Algeria,21642,6.61256,36.36819,4
AfrPro-Place-006 Diana Veteranorum,city,Diana Veteranorum,AĂŻn Zana,Africa Proconsularis,Algeria,22111,6.0803,35.77969,1
AfrPro-Place-007 Lambaesis,fortress,Lambaesis,"LambĂ¨se, Tazoult",Africa Proconsularis,Algeria,21644,6.25472,35.49011,5
AfrPro-Place-008 Mascula,city,Mascula Tiberia,Khenchela,Africa Proconsularis,Algeria,22110,7.15003,35.43334,1
AfrPro-Place-009 Rusicade,city,"Rusicade, Thapsus","Skikda,",Africa Proconsularis,Algeria,21627,6.90496,36.87964,4
AfrPro-Place-010 Sidi Okba,,,Sidi Okba,Africa Proconsularis,Algeria,,5.904163,34.75175,4
AfrPro-Place-011 Thamugadi,city,Thamugadi,Timgad,Africa Proconsularis,Algeria,21651,6.46864,35.48517,1
Aqu-Place-001 Burdigala,city,Burdigala,Bordeaux,Aquitania,France,147,-0.57918,44.83779,4
Aqu-Place-002 Elusa,civitas,Elusa,Eauze,Aquitania,France,401,0.1032,43.8611,2
Aqu-Place-003 Lezoux,town,,Lezoux,Aquitania,France,12333,3.37804,45.82699,2
Aqu-Place-004 St. Aubin,villa,,Saint Aubin,Aquitania,France,19413,0.3754,48.49761,1
As-Place-001 Colophon,city,Colophon,DeÄźirmendere,Asia,Turkey,21170,27.14222,38.11556,1
Bae-Place-001 Igabrum,city,Igabrum,Cabra,Baetica,Spain,16844,-4.44755,37.47115,1
Bae-Place-002 Italica,city,Italica,Santiponce,Baetica,Spain,16834,-6.04344,37.44141,1
Bae-Place-003 Malaca,city,Malaca,MĂˇlaga,Baetica,Spain,16832,-4.42002,36.71965,2
Bae-Place-004 Munda,town,Munda,Cerro de las Camorras,Baetica,Spain,31292,-5.19621,37.37622,1
Bae-Place-005 Carmo,town,Carmo,Carmona,Baetica,Spain,22229,-5.63322,37.47267,0
Bel-Place-001 Augusta Treverorum,city,Augusta Treverorum,Trier,Belgica,Germany,2,6.64376,49.75623,4
Bel-Place-002 Champlieu,temple,,Champlieu,Belgica,France,13002,2.85374,49.30994,1
Bel-Place-003 Donobriga,,Donobriga,Deneuvre,Belgica,France,,6.7372,48.4442,1
Bel-Place-004 Pons Saravi,town,Pons Saravi,"Sarrebourg, Saarburg",Belgica,France,2008,7.05148,48.7348,4
Bel-Place-005 SaarbrĂĽcken,town,,SaarbrĂĽcken,Belgica,Germany,1980,7.02418,49.22383,2
Bel-Place-006 St. Wendel,,,St. Wendel,Belgica,Germany,,7.163959,49.469502,1
Bel-Place-007 Geminiacum,town,Geminiacum?,"Les Bons Villers, Liberchies",Belgica,Belgium,2067,4.44349,50.51455,1
Bri-Place-001 Alauna,fort,"Alauna, Alione",Maryport,Britannia,Great Britain,23702,-3.49391,54.72089,0
Bri-Place-002 Bremenium,fort,Bremenium,High Rochester,Britannia,Great Britain,22985,-2.26602,55.28124,4
Bri-Place-003 Brocolitia,fort,Brocolitia,Carrawburgh,Britannia,Great Britain,23091,-2.22254,55.03385,4
Bri-Place-004 Camulodunum,city,Camulodunum,Colchester,Britannia,Great Britain,20678,0.90068,51.89083,0
Bri-Place-005 Deva,fortress,Deva,Chester,Britannia,Great Britain,20684,-2.89194,53.18955,2
Bri-Place-006 Eboracum,city,"Eburacum, Eboracum",York,Britannia,Great Britain,20679,-1.08711,53.95702,2
Bri-Place-007 Isca,fortress,"Isca, Isca Silurum",Caerleon,Britannia,Great Britain,20687,-2.95524,51.61034,2
Bri-Place-008 Londinium,city,Londinium,London,Britannia,Great Britain,1888,-0.09918,51.51251,4
Bri-Place-009 Longovicium,fort,Longovicium,Lanchester,Britannia,Great Britain,22984,-1.75338,54.81659,1
Bri-Place-010 Luguvalium,city,Luguvalium,Carlisle,Britannia,Great Britain,20692,-2.94175,54.89698,2
Bri-Place-011 Segontium,fort,"Segontium, Seguntium","Caernarfon, Caernarvon",Britannia,Great Britain,22972,-4.26589,53.13724,4
Bri-Place-012 Uxelodunum,fort,"Uxelodunum,Uxelodum, Petrianum",Stanwix,Britannia,Great Britain,22976,-2.9344,54.90507,2
Bri-Place-013 Vercovicium,fort,Vercovicium,Housesteads,Britannia,Great Britain,22951,-2.33027,55.01332,4
Bri-Place-014 Verulamium,city,Verulamium,St Alban,Britannia,Great Britain,20699,-0.35858,51.75292,2
Bri-Place-015 Vindovala,fort,Vindovala,Rudchester,Britannia,Great Britain,23089,-1.8256,55.00235,4
Bri-Place-016 Epiakon,fort,"Epiakon, Epiacum",Whitley Castle,Britannia,Great Britain,23082,-2.47661,54.83196,2
Bri-Place-017 Inveresk,fort,"Coritiotar, Coria",Inveresk,Britannia,Great Britain,25318,-3.05487,55.93653,4
Cap-Place-001 Caesarea,city,"Caesarea, Kaisareia, Mazaka, Eusebeia",Kayseri,Capadocia,Turkey,21242,35.48355,38.73325,1
Cap-Place-002 Tyana,city,"Tyana, Colonia Aurelia Antoniniana",Kemerhisar,Capadocia,Turkey,21243,34.56838,37.81732,1
Cil-Place-001 Anazarbos,city,"Anazarbos, Anazarva, Caesarea ad Anazarbum, Ioustinianoupolis, Ioustinoupolis","Anavarza, Dilekkaya",Cilicia,Turkey,21496,35.89835,37.25564,1
CyrCre-Place-001 Cyrene,city,Cyrene,Shahhat,Cyrenaica et Creta,Libya,21126,21.85617,32.81874,2
Dac-Place-001 AlsĂłbajom,,,"AlsĂłbajom, Boian",Dacia,Romania,,24.228326,46.201652,1
Dac-Place-002 Apulum,City,Apulum,Alba Julia,Dacia,Romania,21776,23.57232,46.0667,5
Dac-Place-003 Aquae,station,Aquae,"Cioroiul Nou, CioroiaĹźi",Dacia,Romania,,23.433215,44.064031,2
Dac-Place-004 BotoČ™eČ™ti Paia,,,BotoČ™eČ™ti Paia,Dacia,Romania,,23.258611,44.404371,2
Dac-Place-005 BumbeČ™ti-Jiu,,,BumbeČ™ti-Jiu,Dacia,Romania,,23.380945,45.179205,2
Dac-Place-006 Ceanu Mic,,,Ceanu Mic,Dacia,Romania,,23.709224,46.642595,1
Dac-Place-007 CinĂ§sor,,,CinĂ§sor,Dacia,Romania,,24.833534,45.837721,3
Dac-Place-008 Decea MureĹźului,,,Decea MureĹźului,Dacia,Romania,,23.762935,46.38322,4
Dac-Place-009 Dierna,,Dierna,OrČ™ova,Dacia,Romania,21387,22.40764,44.73826,2
Dac-Place-010 Dragu,town,,Dragu,Dacia,Romania,33462,23.3917,47.0382,1
Dac-Place-011 Drobeta,city,Drobeta,Drobeta-Turnu Severin,Dacia,Romania,21375,22.65398,44.62296,2
Dac-Place-012 Micia,fort,Micia,VeĹŁel,Dacia,Romania,21317,22.81631,45.91313,4
Dac-Place-013 Napoca,city,Napoca,Cluj-Napoca,Dacia,Romania,21777,23.5884,46.76966,2
Dac-Place-014 Oarda de Sus,,,Oarda de Sus,Dacia,Romania,,23.590419,46.021722,2
Dac-Place-015 Ocna Sibiului,fort,,Ocna Sibiului,Dacia,Romania,45609,24.0535,45.88003,1
Dac-Place-016 Ozd,,,Ozd,Dacia,Romania,,24.117191,46.357828,2
Dac-Place-017 Pojejena,fort,,"Pojejena, ĹžitarniĹŁa",Dacia,Romania,34854,21.57,44.77335,3
Dac-Place-018 Potaissa,city,Potaissa,Turda,Dacia,Romania,21775,23.77273,46.57054,3
Dac-Place-019 Romula,city,"Romula, Malva","ReĹźca, Dobrosloveni",Dacia,Romania,22993,24.39383,44.1724,3
Dac-Place-020 SÄcÄdate,,,SÄcÄdate,Dacia,Romania,,24.3886,45.760219,1
Dac-Place-021 Sacidava,station,"Sacidava, Acidava",DoĹźtat,Dacia,Romania,36505,23.84211,45.97117,4
Dac-Place-022 Sarmizegetusa,city,"Sarmizgetusa, Ulpia Traiana Sarmizegetusa",Sarmizegetusa,Dacia,Romania,19910,22.7888,45.51343,5
Dac-Place-023 SfinČ›eČ™ti,,,SfinČ›eČ™ti,Dacia,Romania,,25.099289,44.190149,1
Dac-Place-024 SlÄveni,fort,,SlÄveni,Dacia,Romania,34228,24.52917,44.08196,4
Dac-Place-025 Sucidava,,Sucidava,"Celei, Corabia",Dacia,Romania,23732,24.4591,43.7644,3
Dac-Place-026 Tibiscum,city,Tibiscum,"Jupa, Obreja",Dacia,Romania,22618,22.18701,45.47604,1
Dal-Place-001 Aequum,city,Aequum,"ÄŚitluk, Sinj",Dalmatia,Croatia,13913,16.656,43.739,2
Dal-Place-002 Arba,town,Arba,Rab,Dalmatia,Croatia,13856,14.76193,44.75412,1
Dal-Place-003 Arupium,town,Arupium,Prozor,Dalmatia,Croatia,13859,15.269,44.849,5
Dal-Place-004 Banjevac,,,Banjevac,Dalmatia,Serbia,,19.400524,44.348924,1
Dal-Place-005 BihaÄ‡,,,BihaÄ‡,Dalmatia,Bosnia and Herzegovina,,15.870082,44.814013,1
Dal-Place-006 Bioska,,,Bioska,Dalmatia,Serbia,,19.664299,43.85569,1
Dal-Place-007 Boka Kotorska,,,Boka Kotorska,Dalmatia,Montenegro,,18.643704,42.538808,1
Dal-Place-008 Brattia,island,Brattia,BraÄ‡,Dalmatia,Croatia,41391,16.63559,43.32709,2
Dal-Place-009 Burnum,city,Burnum,"Plavno Polje/IvoĹˇevci, Kistanje",Dalmatia,Croatia,13907,16.02562,44.01891,2
Dal-Place-010 Crikvine,,Clissa,"Crikvine, Klis",Dalmatia,Croatia,,16.552254,43.578546,4
Dal-Place-011 Epidaurum,city,Epidaurum,"Cavtat, Konavle",Dalmatia,Croatia,13933,18.21887,42.58103,1
Dal-Place-012 Iader,city,Iader,Zadar,Dalmatia,Croatia,13857,15.22453,44.11554,1
Dal-Place-013 Sapua,station,Sapua,Jajce,Dalmatia,Bosnia and Herzegovina,13891,17.407,44.301,4
Dal-Place-014 Jezerine,,,Jezerine,Dalmatia,Bosnia and Herzegovina,,18.416036,42.891435,1
Dal-Place-015 Juraj,,,Juraj,Dalmatia,Croatia,,18.236281,42.579626,4
Dal-Place-016 Konjic,,,Konjic,Dalmatia,Bosnia and Herzegovina,,17.95933,43.653836,4
Dal-Place-017 MoÄŤiÄ‡i,,,MoÄŤiÄ‡i,Dalmatia,Croatia,,18.24851,42.56147,4
Dal-Place-018 Narona,city,Narona,"Vid, MetkoviÄ‡",Dalmatia,Croatia,13927,17.62805,43.08035,2
Dal-Place-019 Lever Tara,,,Lever Tara,Dalmatia,Monte Negro,,19.2483,43.1811,4
Dal-Place-020 Potoci,,,"Potoci, Mostar",Dalmatia,Bosnia and Herzegovina,,17.874789,43.410808,2
Dal-Place-021 Pritoka,,,"Pritoka, BihaÄ‡",Dalmatia,Bosnia and Herzegovina,,15.92511,44.793043,2
Dal-Place-022 Raetinium,,Raetinium,"GolubiÄ‡, BihaÄ‡",Dalmatia,Bosnia and Herzegovina,13872,15.92372,44.78595,2
Dal-Place-023 Rider,city,Rider,Danilo,Dalmatia,Croatia,13904,16.05906,43.70335,1
Dal-Place-024 Rogatica,city,Ris(...),Rogatica,Dalmatia,Bosnia and Herzegovina,22954,19.00428,43.80166,1
Dal-Place-025 Salona,city,Salona,Solin,Dalmatia,Croatia,10939,16.48365,43.53814,3
Dal-Place-026 Senia,city,Senia,Senj,Dalmatia,Croatia,10946,14.90088,44.99056,4
Dal-Place-027 SinaÄ‡,,,SinaÄ‡,Dalmatia,Croatia,,15.331505,44.829344,1
Dal-Place-028 Malvesia,city,"Malvesia, Malvesa",Skelani,Dalmatia,Bosnia and Herzegovina,23361,19.53333,43.96667,1
Dal-Place-029 Staro Selo,,,Staro Selo,Dalmatia,Bosnia and Herzegovina,,17.321143,44.237946,2
Dal-Place-030 Aufustianis,station,Aufustianis,"Tkanice,Tihaljina",Dalmatia,Bosnia and Herzegovina,13926,17.362,43.322,1
Dal-Place-031 LiĹˇiÄŤiÄ‡i,,,LiĹˇiÄŤiÄ‡i,Dalmatia,Bosnia and Herzegovina,,17.883776,43.697938,2
Dal-Place-032 Donje Mile,,,Donje Mile,Dalmatia,Bosnia and Herzegovina,,17.229664,44.351448,1
Dal-Place-033 Dardagan,,,"Dardagan, Zvornik",Dalmatia,Bosnia and Herzegovina,,19.087153,44.431703,1
Lug-Place-001 Alesia,iron age oppidum,Alesia,Alise-Sainte-Reine,Gallia Lugdunensis,France,18691,4.50388,47.53662,2
Lug-Place-002 Dyo,,,"Dyo, Saint-Germain-en-Brionnais",Gallia Lugdunensis,France,,4.275977,46.360659,2
Lug-Place-003 Intaranum,station,Intaranum,Entrains-sur-Nohain,Gallia Lugdunensis,France,2245,3.2564,47.4637,4
Lug-Place-004 Iuliobona,town,Iuliobona,Lillebonne,Gallia Lugdunensis,France,2051,0.53606,49.51786,4
Lug-Place-005 Les Bolards,town,,"Les Bolards, Nuits-Saint-Georges",Gallia Lugdunensis,France,2223,4.95943,47.12384,4
Lug-Place-006 Lugudunum,city,Lugudunum,Lyon,Gallia Lugdunensis,France,105,4.81983,45.75968,2
Lug-Place-007 Septeuil,temple,,Septeuil,Gallia Lugdunensis,France,16270,1.67122,48.89779,4
Lug-Place-008 Angers,town,"Iuliomagus, Andecavis",Angers,Gallia Lugdunensis,France,123,-0.55495,47.47057,4
GaN-Place-001 Apta Iulia,civitas,Apta Iulia,Apt,Gallia Narbonensis,France,174,5.39717,43.87614,3
GaN-Place-002 Arelate,city,"Arelate, Theline, Constantina",Arles,Gallia Narbonensis,France,173,4.62266,43.67586,2
GaN-Place-003 Bourg St. AndĂ©ol,town,Bourg Saint AndĂ©ol,Bergoiata,Gallia Narbonensis,France,11120,4.64664,44.37113,4
GaN-Place-004 Genava,civitas,Genava,GenĂ¨ve,Gallia Narbonensis,Switzerland,22,6.14851,46.20112,1
GaN-Place-005 La Lagaste,oppidum,,"La Lagaste, Pomas",Gallia Narbonensis,France,20131,2.27207,43.11255,1
GaN-Place-006 Lucey,,,Lucey,Gallia Narbonensis,France,,5.7875,45.7528,1
GaN-Place-007 Mons Seleucus,town,Mons Seleucus,La BĂ˘tie-MontsalĂ©on,Gallia Narbonensis,France,8048,5.75141,44.45743,2
GaN-Place-008 Valentia,city,Valentia,Valence,Gallia Narbonensis,France,191,4.88953,44.93163,2
GaN-Place-009 Vasio,civitas,Vasio,Vaison-la-Romaine,Gallia Narbonensis,France,168,5.07464,44.23824,1
GaN-Place-010 Venetonimagus,town,Venetonimagus,"Vieu, Vieu-en-Val-Romey",Gallia Narbonensis,France,17309,5.68279,45.89768,4
GaN-Place-011 Vienna,city,Vienna,Vienne,Gallia Narbonensis,France,106,4.87325,45.5242,4
GaN-Place-012 Mandelieu-la-Napoule,villa,,Mandelieu-la-Napoule,Gallia Narbonensis,France,18088,6.93831,43.54623,4
GeI-Place-001 Bandorf,,,Bandorf,Germania Inferior,Germany,,7.197057,50.609032,1
GeI-Place-002 Bonna,fortress,Bonna,Bonn,Germania Inferior,Germany,527,7.09938,50.7448,4
GeI-Place-003 Burginatium,fort,Burginatium,Altkalkar,Germania Inferior,Germany,11070,6.31889,51.71389,2
GeI-Place-004 Colonia Agrippinensium,city,"Colonia Claudia Ara Agrippinensium, Ara Ubiorum",KĂ¶ln,Germania Inferior,Germany,299,6.95816,50.94134,5
GeI-Place-005 Durnomagus,fort,Durnomagus,Dormagen,Germania Inferior,Germany,2072,6.84056,51.0925,4
GeI-Place-006 Gelduba,fort,Gelduba,Gellep-Stratum,Germania Inferior,Germany,2074,6.6825,51.33319,4
GeI-Place-007 Juslenville,,Tecta,Juslenville,Germania Inferior,Belgium,,5.810944,50.544869,2
GeI-Place-008 Rheder,,,Rheder,Germania Inferior,Germany,,6.798156,50.622653,2
GeI-Place-009 Vetera,fortress,"Vetera, Castra Vetera",Birten,Germania Inferior,Germany,898,6.46999,51.64639,2
GeI-Place-010 Bornheim-Sechtem,,,Bornheim-Sechtem,Germania Inferior,Germany,,6.956638,50.789579,4
GeI-Place-011 Tienen,town,,Tienen,Germania Inferior,Belgium,4153,4.93943,50.8056,4
GeS-Place-001 Aquae Helveticae,bath,Aquae Helveticae,Baden,Germania Superior,Switzerland,1938,8.31345,47.48132,1
GeS-Place-002 Aquae Mattiacorum,civitas,Aquae Mattiacorum,Wiesbaden,Germania Superior,Germany,1981,8.23879,50.08434,4
GeS-Place-003 Argentorate,fortress,"Argentorate, Stratoburgo",Strasbourg,Germania Superior,France,17,7.75108,48.58272,2
GeS-Place-004 Augusta Rauricorum,city,"Augusta Rauricorum, Colonia Augusta Raurica",Augst,Germania Superior,Switzerland,19,7.72231,47.53323,2
GeS-Place-005 Bodobrica,fort,"Bodobrica, Baudobriga",Boppard,Germania Superior,Germany,1385,7.59173,50.23103,1
GeS-Place-006 Besigheim,villa,,Besigheim,Germania Superior,Germany,8074,9.11814,48.98596,1
GeS-Place-007 Argentovaria,town,Argentovaria,"Biesheim,Ĺ’denbourg",Germania Superior,France,18938,7.54637,48.06394,4
GeS-Place-008 BingerbrĂĽck,,,BingerbrĂĽck,Germania Superior,Germany,,7.887969,49.96611,1
GeS-Place-009 Bingium,town,Bingium,Bingen am Rhein,Germania Superior,Germany,520,7.89189,49.96682,4
GeS-Place-010 BĂ¶ckingen,fort,,BĂ¶ckingen,Germania Superior,Germany,3788,9.19932,49.14661,1
GeS-Place-011 Brocomagus,civitas,Brocomagus,Brumath,Germania Superior,France,377,7.71118,48.73002,2
GeS-Place-012 Dieburg,civitas,"Med(...),Civitas Auderiensium",Dieburg,Germania Superior,Germany,2207,8.84571,49.89933,4
GeS-Place-013 Echzell,fort,,Echzell,Germania Superior,Germany,2162,8.88318,50.39309,1
GeS-Place-014 Epamanduodurum,town,Epamanduodurum,Mandeure,Germania Superior,France,902,6.79622,47.44901,1
GeS-Place-015 Ettlingen,town,,Ettlingen,Germania Superior,Germany,1952,8.4093,48.943,1
GeS-Place-016 Fellbach,villa,,Fellbach,Germania Superior,Germany,40954,9.26759,48.8111,2
GeS-Place-017 Gimmeldingen,villa,,Gimmeldingen,Germania Superior,Germany,18864,8.15414,49.37615,4
GeS-Place-018 GroĂźkrotzenburg,fort,,GroĂźkrotzenburg,Germania Superior,Germany,2167,8.98041,50.08034,4
GeS-Place-019 Neuenheim,fort,,"Neuenheim, Heidelberg",Germania Superior,Germany,2210,8.6805,49.41348,4
GeS-Place-020 HĂ¶lzern,,,"HĂ¶lzern, Eberstadt",Germania Superior,Germany,,9.34612,49.178882,1
GeS-Place-021 Ittenwiller,production,,Ittenwiller,Germania Superior,France,44888,7.45371,48.38467,1
GeS-Place-022 Kindenheim,,,Kindenheim,Germania Superior,Germany,,8.162189,49.610651,1
GeS-Place-023 Koenigshoffen,,Argentorate,"Koenigshoffen, Strasbourg",Germania Superior,France,,7.712414,48.578856,4
GeS-Place-024 Langenhain,fort,,Langenhain,Germania Superior,Germany,16051,8.64479,50.3651,1
GeS-Place-025 Lengfeld,,,"Lengfeld, Odenwald",Germania Superior,Germany,,8.901667,49.835556,2
GeS-Place-026 Lopodunum,civitas,"Lopodunum, Civitas Ulpia Sueborum Nicrensium",Ladenburg,Germania Superior,Germany,541,8.61109,49.47176,1
GeS-Place-027 Mackwiller,temple,,Mackwiller,Germania Superior,France,4663,7.17889,48.92402,4
GeS-Place-028 Mogontiacum,city,Mogontiacum,Mainz,Germania Superior,Germany,3,8.27387,49.99891,4
GeS-Place-029 MĂ¶ttlingen,,,MĂ¶ttlingen,Germania Superior,Germany,,8.799768,48.762985,1
GeS-Place-030 Mundelsheim,villa,,Mundelsheim,Germania Superior,Germany,40627,9.21262,49.00956,1
GeS-Place-031 Murrhardt,fort,,Murrhadt,Germania Superior,Germany,1395,9.58236,48.97705,4
GeS-Place-032 Nida,civitas,"Nida, Civitas Taunensium","Heddernheim, Frankfurt am Main",Germania Superior,Germany,2000,8.63774,50.15411,6
GeS-Place-033 Niederbieber,fort,,"Niederbieber, Niederbieber-Segendorf",Germania Superior,Germany,2177,7.47195,50.46703,2
GeS-Place-034 Noviodunum,civitas,Noviodunum,Nyon,Germania Superior,Switzerland,21,6.23883,46.38252,4
GeS-Place-035 Noviomagus,civitas,"Noviomagus, Nemetae, Civitas Nemetum, Spira",Speyer,Germania Superior,Germany,5,8.44245,49.31723,2
GeS-Place-036 Ober-Florstadt,fort,,Ober-Florstadt,Germania Superior,Germany,2163,8.87677,50.3238,4
GeS-Place-037 Obernburg,fort,,Obernburg am Main,Germania Superior,Germany,12883,9.14659,49.84111,2
GeS-Place-038 Osterburken,fort,,Osterburken,Germania Superior,Germany,1268,9.42365,49.42752,4
GeS-Place-039 Riegel,fort,,Riegel am Kaiserstuhl,Germania Superior,Germany,1954,7.74974,48.15208,4
GeS-Place-040 Rockenhausen,,,Rockenhausen,Germania Superior,Germany,,7.818609,49.630844,4
GeS-Place-041 RĂĽckingen,fort,,RĂĽckingen,Germania Superior,Germany,2166,8.98134,50.15473,3
GeS-Place-042 RĂĽsselheim-HaĂźloch,fortlet/tower,,RĂĽsselheim-HaĂźloch,Germania Superior,Germany,821,8.46523,49.98571,1
GeS-Place-043 Schwarzerden,fortlet/tower,,Schwarzerden,Germania Superior,Germany,45004,7.28417,49.53389,4
GeS-Place-044 Sindelfingen,town,,Sindelfingen,Germania Superior,Germany,8072,9.01016,48.70326,1
GeS-Place-045 Stockstadt,fort,,Stockstadt am Main,Germania Superior,Germany,7969,9.06737,49.97739,5
GeS-Place-046 Sumelocenna,civitas,"Sumelocenna, Civitas Sumelocennensis",Rottenburg am Neckar,Germania Superior,Germany,8080,8.9365,48.4784,1
GeS-Place-047 Tabernae,town,Tabernae,Rheinzabern,Germania Superior,Germany,1070,8.2781,49.1193,2
GeS-Place-048 Friedberg,fort,,Friedberg,Germania Superior,Germany,12979,8.7535,50.34167,4
GeS-Place-049 Vicus Altiaiensium,fort,Vicus Altiaiensium,Alzey,Germania Superior,Germany,952,8.11749,49.74283,2
GeS-Place-050 Vicus Nediensis,town,"Vicus Nediensis, Vicus Nediensium",Spechbach,Germania Superior,Germany,40811,8.87847,49.35583,2
GeS-Place-051 Walheim,fort,,Walheim,Germania Superior,Germany,2149,9.15444,49.01072,1
GeS-Place-052 Zasenhausen,,,Zasenhousen,Germania Superior,Germany,,8.814986,49.108041,1
GeS-Place-053 Biesheim,town,Argentovaria,"Biesheim, Ĺ’denbourg",Germania Superior,France,18938,7.54637,48.06394,4
GeS-Place-054 GroĂź-Gerau,fort,,GroĂź-Gerau,Germania Superior,Germany,26356,8.48024,49.90337,4
GeS-Place-055 GĂĽglingen,town,,GĂĽglingen,Germania Superior,Germany,19887,9.0052,49.06144,5
GeS-Place-056 Grinario,fort,Grinario,KĂ¶ngen,Germania Superior,Germany,1913,9.36007,48.67729,1
GeS-Place-057 BoscĂ©az,villa,,"BoscĂ©az, Orbe",Germania Superior,Switzerland,20238,6.53707,46.74432,4
GeS-Place-058 Welzheim,fort,,Welzheim,Germania Superior,Germany,,9.63245,48.87227,1
GeS-Place-059 Wiesloch,town,,Wiesloch,Germania Superior,Germany,542,8.69907,49.29359,4
Tar-Place-001 Aquae Calidae,town,Aquae Calidae,Cuntis,Tarraconensis,Spain,27991,-8.56343,42.63265,1
Tar-Place-002 Colonia Barcino,city,Colonia Barcino,Barcelona,Tarraconensis,Spain,6534,2.17542,41.38411,1
Tar-Place-003 BenifayĂł,town,unknown,BenifayĂł,Tarraconensis,Spain,,-0.427551,39.285703,1
Tar-Place-004 Cabrea de Mar,temple,,"Carbrera de Mar, Can Modolell",Tarraconensis,Spain,37170,2.38931,41.53453,2
Tar-Place-005 La Isla,temple,,"La Isla, Colunga",Tarraconensis,Spain,45698,-5.22677,43.47948,1
Tar-Place-006 Assegonia,station,Assegonia,Santiago de Compostela,Tarraconensis,Spain,36185,-8.54637,42.88036,1
Tar-Place-007 Tarraco,city,Tarraco,Tarragona,Tarraconensis,Spain,6535,1.25806,41.1192,1
Tar-Place-008 Els Munts,villa,,"Els Munts, Altafulla",Tarraconensis,Spain,22476,1.38581,41.1367,4
Tar-Place-009 Lucus Augusti,city,Lucus Augusti,Lugo,Tarraconensis,Spain,13697,-7.55819,43.00915,4
Tar-Place-010 Saguntum,city,Saguntum,Sagunto,Tarraconensis,Spain,18310,-0.27589,39.67622,1
regi-place-001_aenaria,island,"Aenaria Insula, Pithekoussai Insula",Isola d&#039;Ischia,"Italia, Regio I Latium et Campania",Ita,42338,13.8986,40.71667,1
RegI-Place-002 Albano,town,Castra Albana,Albano Laziale,"Italia, Regio I Latium et Campania",Italy,22201,12.65757,41.73071,1
RegI-Place-003 Antium,city,Antium,Anzio,"Italia, Regio I Latium et Campania",Italy,16711,12.6286,41.45519,2
RegI-Place-004 Cales,city,Cales,Calvi Risorta,"Italia, Regio I Latium et Campania",Italy,21765,14.13207,41.19999,2
RegI-Place-005 Caprae,island,Caprae Insula,Isola di Capri,"Italia, Regio I Latium et Campania",Italy,41781,14.23333,40.55314,1
RegI-Place-006 Capua,city,Capua,Santa Maria Capua Vetere,"Italia, Regio I Latium et Campania",Italy,21762,14.25006,41.08594,4
RegI-Place-007 Castel Gandolfo,town,,Castel Gandolfo,"Italia, Regio I Latium et Campania",Italy,21325,12.65048,41.74645,1
RegI-Place-008 Corniculum,town,Corniculum,"Montecelio, Guidonia Montecelio","Italia, Regio I Latium et Campania",Italy,22207,12.74281,42.02348,1
RegI-Place-009 Fiano Romano,,,Fiano Romano,"Italia, Regio I Latium et Campania",Italy,,12.590176,42.168331,1
RegI-Place-010 Formiae,city,Formiae,Formia,"Italia, Regio I Latium et Campania",Italy,16716,13.60591,41.25635,2
RegI-Place-011 Labicum,town,Labicum,Monte Compatri,"Italia, Regio I Latium et Campania",Italy,22202,12.73767,41.80934,1
RegI-Place-012 Lanuvium,city,Lanuvium,Lanuvio,"Italia, Regio I Latium et Campania",Italy,21331,12.6974,41.67439,1
RegI-Place-013 Lavinium,city,Lavinium,"Pratica di Mare, Pomezia","Italia, Regio I Latium et Campania",Italy,21330,12.4802,41.66394,1
RegI-Place-014 Marino,town,Castromoenium,Marino,"Italia, Regio I Latium et Campania",Italy,33637,12.66022,41.76983,4
RegI-Place-015 Neapolis,city,"Neapolis, Parthenope",Napoli,"Italia, Regio I Latium et Campania",Italy,1524,14.25287,40.8405,4
